nonwordType,upperWord,lowerWord,corrAns,n,fixation.started_mean,fixation.started_raw,fixation.started_std,fixation.stopped_raw,lowerStim.started_mean,lowerStim.started_raw,lowerStim.started_std,lowerStim.stopped_raw,resp.corr_mean,resp.corr_raw,resp.corr_std,resp.keys_raw,resp.rt_mean,resp.rt_raw,resp.rt_std,resp.started_mean,resp.started_raw,resp.started_std,resp.stopped_raw,upperStim.started_mean,upperStim.started_raw,upperStim.started_std,upperStim.stopped_raw,order
PSEUDOHOMOPHONE,BILL,AHMS,up,1.0,69.03218841552734,69.03218841552734,0.0,,70.01219940185547,70.01219940185547,0.0,,1.0,1.0,0.0,'up',0.6958443522453308,0.6958443522453308,0.0,70.01219940185547,70.01219940185547,0.0,,70.01219940185547,70.01219940185547,0.0,,2.0
PSEUDOHOMOPHONE,BORN,BILD,up,1.0,67.49417877197266,67.49417877197266,0.0,,68.47552490234375,68.47552490234375,0.0,,1.0,1.0,0.0,'up',0.5335215330123901,0.5335215330123901,0.0,68.47552490234375,68.47552490234375,0.0,,68.47552490234375,68.47552490234375,0.0,,1.0
PSEUDOHOMOPHONE,BOYS,CORT,up,1.0,90.54825592041016,90.54825592041016,0.0,,91.5274658203125,91.5274658203125,0.0,,1.0,1.0,0.0,'up',0.4749034345149994,0.4749034345149994,0.0,91.5274658203125,91.5274658203125,0.0,,91.5274658203125,91.5274658203125,0.0,,15.0
PSEUDOHOMOPHONE,CALL,DERT,up,1.0,99.5301284790039,99.5301284790039,0.0,,100.51116180419922,100.51116180419922,0.0,,1.0,1.0,0.0,'up',0.5948696732521057,0.5948696732521057,0.0,100.51116180419922,100.51116180419922,0.0,,100.51116180419922,100.51116180419922,0.0,,20.0
PSEUDOHOMOPHONE,CARS,FLOO,up,1.0,105.92697143554688,105.92697143554688,0.0,,106.89519500732422,106.89519500732422,0.0,,1.0,1.0,0.0,'up',0.5354824662208557,0.5354824662208557,0.0,106.89519500732422,106.89519500732422,0.0,,106.89519500732422,106.89519500732422,0.0,,24.0
PSEUDOHOMOPHONE,COLD,GARD,up,1.0,93.78073120117188,93.78073120117188,0.0,,94.7574234008789,94.7574234008789,0.0,,1.0,1.0,0.0,'up',0.8465855121612549,0.8465855121612549,0.0,94.7574234008789,94.7574234008789,0.0,,94.7574234008789,94.7574234008789,0.0,,17.0
PSEUDOHOMOPHONE,DARN,GROE,up,1.0,95.62403869628906,95.62403869628906,0.0,,96.60836029052734,96.60836029052734,0.0,,1.0,1.0,0.0,'up',1.2576242685317993,1.2576242685317993,0.0,96.60836029052734,96.60836029052734,0.0,,96.60836029052734,96.60836029052734,0.0,,18.0
CONTROL,DATE,AHNS,up,1.0,72.39401245117188,72.39401245117188,0.0,,73.357177734375,73.357177734375,0.0,,1.0,1.0,0.0,'up',0.4937286972999573,0.4937286972999573,0.0,73.357177734375,73.357177734375,0.0,,73.357177734375,73.357177734375,0.0,,4.0
CONTROL,DEEP,BAIF,up,1.0,75.38174438476562,75.38174438476562,0.0,,76.35906219482422,76.35906219482422,0.0,,1.0,1.0,0.0,'up',0.4985414147377014,0.4985414147377014,0.0,76.35906219482422,76.35906219482422,0.0,,76.35906219482422,76.35906219482422,0.0,,6.0
CONTROL,EASY,BIRL,up,1.0,78.87755584716797,78.87755584716797,0.0,,79.84505462646484,79.84505462646484,0.0,,1.0,1.0,0.0,'up',0.5176190137863159,0.5176190137863159,0.0,79.84505462646484,79.84505462646484,0.0,,79.84505462646484,79.84505462646484,0.0,,8.0
