upperWord,lowerWord,corrAns,wordType,n,fixation.started_mean,fixation.started_raw,fixation.started_std,fixation.stopped_raw,lowerStim.started_mean,lowerStim.started_raw,lowerStim.started_std,lowerStim.stopped_raw,resp.corr_mean,resp.corr_raw,resp.corr_std,resp.keys_raw,resp.rt_mean,resp.rt_raw,resp.rt_std,resp.started_mean,resp.started_raw,resp.started_std,resp.stopped_raw,upperStim.started_mean,upperStim.started_raw,upperStim.started_std,upperStim.stopped_raw,order
DEAR,DEUR,up,HOMOPHONE,1.0,49.62440490722656,49.62440490722656,0.0,,50.589263916015625,50.589263916015625,0.0,,1.0,1.0,0.0,'up',0.6046766638755798,0.6046766638755798,0.0,50.589263916015625,50.589263916015625,0.0,,50.589263916015625,50.589263916015625,0.0,,23.0
HAIR,HAUR,up,HOMOPHONE,1.0,44.390594482421875,44.390594482421875,0.0,,45.35438537597656,45.35438537597656,0.0,,1.0,1.0,0.0,'up',0.5457392930984497,0.5457392930984497,0.0,45.35438537597656,45.35438537597656,0.0,,45.35438537597656,45.35438537597656,0.0,,20.0
LAID,LAOD,up,HOMOPHONE,1.0,56.37506103515625,56.37506103515625,0.0,,57.33998489379883,57.33998489379883,0.0,,1.0,1.0,0.0,'up',0.7479123473167419,0.7479123473167419,0.0,57.33998489379883,57.33998489379883,0.0,,57.33998489379883,57.33998489379883,0.0,,27.0
LOAD,LOED,up,HOMOPHONE,1.0,41.04026412963867,41.04026412963867,0.0,,42.00632095336914,42.00632095336914,0.0,,1.0,1.0,0.0,'up',0.5748781561851501,0.5748781561851501,0.0,42.00632095336914,42.00632095336914,0.0,,42.00632095336914,42.00632095336914,0.0,,18.0
MEET,MEOT,up,HOMOPHONE,1.0,28.506332397460938,28.506332397460938,0.0,,29.474098205566406,29.474098205566406,0.0,,1.0,1.0,0.0,'up',0.5446103811264038,0.5446103811264038,0.0,29.474098205566406,29.474098205566406,0.0,,29.474098205566406,29.474098205566406,0.0,,11.0
POUR,POIR,up,HOMOPHONE,1.0,59.70574951171875,59.70574951171875,0.0,,60.673828125,60.673828125,0.0,,1.0,1.0,0.0,'up',0.7308722734451294,0.7308722734451294,0.0,60.673828125,60.673828125,0.0,,60.673828125,60.673828125,0.0,,29.0
SEED,SAED,up,HOMOPHONE,1.0,51.24106216430664,51.24106216430664,0.0,,52.208343505859375,52.208343505859375,0.0,,1.0,1.0,0.0,'up',0.48171547055244446,0.48171547055244446,0.0,52.208343505859375,52.208343505859375,0.0,,52.208343505859375,52.208343505859375,0.0,,24.0
COIN,COAN,up,WORD,1.0,26.939817428588867,26.939817428588867,0.0,,27.907791137695312,27.907791137695312,0.0,,1.0,1.0,0.0,'up',0.559838593006134,0.559838593006134,0.0,27.907791137695312,27.907791137695312,0.0,,27.907791137695312,27.907791137695312,0.0,,10.0
DEAF,DIAF,up,WORD,1.0,58.10972595214844,58.10972595214844,0.0,,59.09161376953125,59.09161376953125,0.0,,1.0,1.0,0.0,'up',0.5690941214561462,0.5690941214561462,0.0,59.09161376953125,59.09161376953125,0.0,,59.09161376953125,59.09161376953125,0.0,,28.0
DENY,DINY,up,WORD,1.0,37.62349319458008,37.62349319458008,0.0,,38.609649658203125,38.609649658203125,0.0,,1.0,1.0,0.0,'up',0.7958166003227234,0.7958166003227234,0.0,38.609649658203125,38.609649658203125,0.0,,38.609649658203125,38.609649658203125,0.0,,16.0
FISH,FESH,up,WORD,1.0,23.70855712890625,23.70855712890625,0.0,,24.6742000579834,24.6742000579834,0.0,,1.0,1.0,0.0,'up',0.5724990963935852,0.5724990963935852,0.0,24.6742000579834,24.6742000579834,0.0,,24.6742000579834,24.6742000579834,0.0,,8.0
HOOT,HEOT,up,WORD,1.0,35.923221588134766,35.923221588134766,0.0,,36.8912239074707,36.8912239074707,0.0,,1.0,1.0,0.0,'up',0.6834005117416382,0.6834005117416382,0.0,36.8912239074707,36.8912239074707,0.0,,36.8912239074707,36.8912239074707,0.0,,15.0
SPOT,SMOT,up,WORD,1.0,18.558979034423828,18.558979034423828,0.0,,19.539846420288086,19.539846420288086,0.0,,1.0,1.0,0.0,'up',0.5630277991294861,0.5630277991294861,0.0,19.539846420288086,19.539846420288086,0.0,,19.539846420288086,19.539846420288086,0.0,,5.0
TWIN,TRIN,up,WORD,1.0,42.623775482177734,42.623775482177734,0.0,,43.590816497802734,43.590816497802734,0.0,,1.0,1.0,0.0,'up',0.7583239674568176,0.7583239674568176,0.0,43.590816497802734,43.590816497802734,0.0,,43.590816497802734,43.590816497802734,0.0,,19.0
UNIT,UNAT,up,WORD,1.0,15.174578666687012,15.174578666687012,0.0,,16.156396865844727,16.156396865844727,0.0,,1.0,1.0,0.0,'up',0.6386927962303162,0.6386927962303162,0.0,16.156396865844727,16.156396865844727,0.0,,16.156396865844727,16.156396865844727,0.0,,3.0
BIAR,BEAR,down,HOMOPHONE,1.0,13.426000595092773,13.426000595092773,0.0,,14.406249046325684,14.406249046325684,0.0,,1.0,1.0,0.0,'down',0.7447566986083984,0.7447566986083984,0.0,14.406249046325684,14.406249046325684,0.0,,14.406249046325684,14.406249046325684,0.0,,2.0
GUTE,GATE,down,HOMOPHONE,1.0,20.126163482666016,20.126163482666016,0.0,,21.108570098876953,21.108570098876953,0.0,,1.0,1.0,0.0,'down',0.7942451238632202,0.7942451238632202,0.0,21.108570098876953,21.108570098876953,0.0,,21.108570098876953,21.108570098876953,0.0,,6.0
HOEL,HEEL,down,HOMOPHONE,1.0,39.439720153808594,39.439720153808594,0.0,,40.408531188964844,40.408531188964844,0.0,,1.0,1.0,0.0,'down',0.5916273593902588,0.5916273593902588,0.0,40.408531188964844,40.408531188964844,0.0,,40.408531188964844,40.408531188964844,0.0,,17.0
LIAF,LEAF,down,HOMOPHONE,1.0,47.95795440673828,47.95795440673828,0.0,,48.92329788208008,48.92329788208008,0.0,,1.0,1.0,0.0,'down',0.6478649377822876,0.6478649377822876,0.0,48.92329788208008,48.92329788208008,0.0,,48.92329788208008,48.92329788208008,0.0,,22.0
MOIL,MAIL,down,HOMOPHONE,1.0,25.290292739868164,25.290292739868164,0.0,,26.257537841796875,26.257537841796875,0.0,,1.0,1.0,0.0,'down',0.6482841968536377,0.6482841968536377,0.0,26.257537841796875,26.257537841796875,0.0,,26.257537841796875,26.257537841796875,0.0,,9.0
PAER,PEER,down,HOMOPHONE,1.0,54.639198303222656,54.639198303222656,0.0,,55.6076545715332,55.6076545715332,0.0,,1.0,1.0,0.0,'down',0.7171070575714111,0.7171070575714111,0.0,55.6076545715332,55.6076545715332,0.0,,55.6076545715332,55.6076545715332,0.0,,26.0
ROCE,ROLE,down,HOMOPHONE,1.0,11.574256896972656,11.574256896972656,0.0,,12.539165496826172,12.539165496826172,0.0,,1.0,1.0,0.0,'down',0.8528558015823364,0.8528558015823364,0.0,12.539165496826172,12.539165496826172,0.0,,12.539165496826172,12.539165496826172,0.0,,1.0
SOVE,SORE,down,HOMOPHONE,1.0,31.73885726928711,31.73885726928711,0.0,,32.72138977050781,32.72138977050781,0.0,,1.0,1.0,0.0,'down',1.2771326303482056,1.2771326303482056,0.0,32.72138977050781,32.72138977050781,0.0,,32.72138977050781,32.72138977050781,0.0,,13.0
FOAD,FOOD,down,WORD,1.0,30.0566463470459,30.0566463470459,0.0,,31.026294708251953,31.026294708251953,0.0,,1.0,1.0,0.0,'down',0.6802786588668823,0.6802786588668823,0.0,31.026294708251953,31.026294708251953,0.0,,31.026294708251953,31.026294708251953,0.0,,12.0
HULE,HUGE,down,WORD,1.0,16.839277267456055,16.839277267456055,0.0,,17.80674171447754,17.80674171447754,0.0,,1.0,1.0,0.0,'down',0.7231268286705017,0.7231268286705017,0.0,17.80674171447754,17.80674171447754,0.0,,17.80674171447754,17.80674171447754,0.0,,4.0
PAKE,PIKE,down,WORD,1.0,52.723575592041016,52.723575592041016,0.0,,53.70389938354492,53.70389938354492,0.0,,1.0,1.0,0.0,'down',0.9011682271957397,0.9011682271957397,0.0,53.70389938354492,53.70389938354492,0.0,,53.70389938354492,53.70389938354492,0.0,,25.0
PASH,PATH,down,WORD,1.0,34.03976821899414,34.03976821899414,0.0,,35.00850296020508,35.00850296020508,0.0,,1.0,1.0,0.0,'down',0.8789601922035217,0.8789601922035217,0.0,35.00850296020508,35.00850296020508,0.0,,35.00850296020508,35.00850296020508,0.0,,14.0
PAUD,PAID,down,WORD,1.0,9.62447738647461,9.62447738647461,0.0,,10.572774887084961,10.572774887084961,0.0,,1.0,1.0,0.0,'down',0.9533185362815857,0.9533185362815857,0.0,10.572774887084961,10.572774887084961,0.0,,10.572774887084961,10.572774887084961,0.0,,0.0
SLUB,SLAB,down,WORD,1.0,45.92734146118164,45.92734146118164,0.0,,46.90987777709961,46.90987777709961,0.0,,1.0,1.0,0.0,'down',1.002210021018982,1.002210021018982,0.0,46.90987777709961,46.90987777709961,0.0,,46.90987777709961,46.90987777709961,0.0,,21.0
VOME,VOTE,down,WORD,1.0,21.941492080688477,21.941492080688477,0.0,,22.904104232788086,22.904104232788086,0.0,,1.0,1.0,0.0,'down',0.7566594481468201,0.7566594481468201,0.0,22.904104232788086,22.904104232788086,0.0,,22.904104232788086,22.904104232788086,0.0,,7.0

