text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
green,blue,right,incong,0,0,0,7,,,,,22.514217018004274,None,33.370934006990865,None,right,1,0.9287678360124119,33.370934006990865,None,34.340132139011985,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,0,1,1,10,,,,,,,35.82014406999224,None,right,1,0.6256340419931803,35.82014406999224,None,36.47527598400484,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,0,2,2,5,,,,,,,37.95376499698614,None,down,1,0.6929353160085157,37.95376499698614,None,38.676010675990256,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,green,down,incong,0,3,3,2,,,,,,,40.15650807999191,None,right,0,1.2321299570030533,40.15650807999191,None,41.42274592598551,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,0,4,4,6,,,,,,,42.90387064800598,None,down,1,0.717584218014963,42.90387064800598,None,43.67295284298598,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,green,down,incong,0,5,5,9,,,,,,,45.13865055699716,None,down,1,0.8828058460203465,45.13865055699716,None,46.04287803400075,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,red,left,incong,0,6,6,8,,,,,,,47.53801119999844,None,left,1,1.471243387000868,47.53801119999844,None,49.035545967984945,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,blue,right,incong,0,7,7,3,,,,,,,50.52038214600179,None,right,1,0.6617573469993658,50.52038214600179,None,51.20365224100533,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,0,8,8,0,,,,,,,52.687940842995886,None,left,1,0.6802930309786461,52.687940842995886,None,53.3864206399885,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,0,9,9,1,,,,,,,54.871315583994146,None,left,1,0.5847018789791036,54.871315583994146,None,55.50537538700155,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,0,10,10,11,,,,,,,56.98676982100005,None,right,1,0.7893218279932626,56.98676982100005,None,57.803862584987655,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,red,left,incong,0,11,11,4,,,,,,,59.28865200901055,None,left,1,1.2344034199777525,59.28865200901055,None,60.55973547499161,None,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,green,down,incong,,,,,0,0,0,2,,,68.73578969898517,None,down,1,1.3911340159829706,68.73578969898517,None,,,61.6062320729834,None,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,0,1,1,10,,,70.63626287900843,None,right,1,0.575464388995897,70.63626287900843,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,,,,,0,2,2,1,,,71.71901038198848,None,left,1,0.4866598899825476,71.71901038198848,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,red,left,incong,,,,,0,3,3,8,,,72.71890392899513,None,left,1,0.7357238880067598,72.71890392899513,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
