,text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
0,green,blue,right,incong,0.0,0.0,0.0,7.0,,,,,22.514217018004274,None,33.370934006990865,None,right,1.0,0.928767836012412,33.370934006990865,None,34.340132139011985,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
1,blue,blue,right,cong,0.0,1.0,1.0,10.0,,,,,,,35.82014406999224,None,right,1.0,0.6256340419931803,35.82014406999224,None,36.475275984004845,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
2,green,green,down,cong,0.0,2.0,2.0,5.0,,,,,,,37.95376499698614,None,down,1.0,0.6929353160085157,37.95376499698614,None,38.676010675990256,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
3,red,green,down,incong,0.0,3.0,3.0,2.0,,,,,,,40.15650807999191,None,right,0.0,1.2321299570030533,40.15650807999191,None,41.42274592598551,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
4,green,green,down,cong,0.0,4.0,4.0,6.0,,,,,,,42.90387064800598,None,down,1.0,0.717584218014963,42.90387064800598,None,43.67295284298597,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
5,blue,green,down,incong,0.0,5.0,5.0,9.0,,,,,,,45.138650556997156,None,down,1.0,0.8828058460203465,45.138650556997156,None,46.04287803400075,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
6,blue,red,left,incong,0.0,6.0,6.0,8.0,,,,,,,47.53801119999844,None,left,1.0,1.471243387000868,47.53801119999844,None,49.03554596798495,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
7,red,blue,right,incong,0.0,7.0,7.0,3.0,,,,,,,50.520382146001786,None,right,1.0,0.6617573469993658,50.520382146001786,None,51.20365224100532,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
8,red,red,left,cong,0.0,8.0,8.0,0.0,,,,,,,52.68794084299589,None,left,1.0,0.6802930309786461,52.68794084299589,None,53.3864206399885,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
9,red,red,left,cong,0.0,9.0,9.0,1.0,,,,,,,54.87131558399415,None,left,1.0,0.5847018789791036,54.87131558399415,None,55.50537538700154,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
10,blue,blue,right,cong,0.0,10.0,10.0,11.0,,,,,,,56.98676982100005,None,right,1.0,0.7893218279932626,56.98676982100005,None,57.80386258498766,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
11,green,red,left,incong,0.0,11.0,11.0,4.0,,,,,,,59.28865200901054,None,left,1.0,1.2344034199777525,59.28865200901054,None,60.559735474991605,None,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
12,red,green,down,incong,,,,,0.0,0.0,0.0,2.0,,,68.73578969898517,None,down,1.0,1.3911340159829706,68.73578969898517,None,,,61.606232072983396,None,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
13,blue,blue,right,cong,,,,,0.0,1.0,1.0,10.0,,,70.63626287900844,None,right,1.0,0.5754643889958969,70.63626287900844,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
14,red,red,left,cong,,,,,0.0,2.0,2.0,1.0,,,71.71901038198848,None,left,1.0,0.4866598899825476,71.71901038198848,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
15,blue,red,left,incong,,,,,0.0,3.0,3.0,8.0,,,72.71890392899512,None,left,1.0,0.7357238880067598,72.71890392899512,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
16,green,blue,right,incong,,,,,0.0,4.0,4.0,7.0,,,73.96948971800157,None,right,1.0,1.1371296980069021,73.96948971800157,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
17,green,green,down,cong,,,,,0.0,5.0,5.0,5.0,,,75.62085127999308,None,down,1.0,0.7986532200011425,75.62085127999308,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
18,blue,green,down,incong,,,,,0.0,6.0,6.0,9.0,,,76.93881866600714,None,down,1.0,0.8339444269950036,76.93881866600714,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
19,blue,blue,right,cong,,,,,0.0,7.0,7.0,11.0,,,78.28862013798789,None,right,1.0,0.5469749170006253,78.28862013798789,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
20,red,blue,right,incong,,,,,0.0,8.0,8.0,3.0,,,79.33879074099241,None,right,1.0,0.6927405729948077,79.33879074099241,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
21,green,green,down,cong,,,,,0.0,9.0,9.0,6.0,,,80.53628749400376,None,down,1.0,0.5712875720055308,80.53628749400376,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
22,green,red,left,incong,,,,,0.0,10.0,10.0,4.0,,,81.62071814399678,None,left,1.0,0.6048242989927529,81.62071814399678,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
23,red,red,left,cong,,,,,0.0,11.0,11.0,0.0,,,82.73858573299367,None,left,1.0,0.5919320800167043,82.73858573299367,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
24,green,green,down,cong,,,,,1.0,0.0,12.0,5.0,,,83.83621522798784,None,down,1.0,2.3631595759943598,83.83621522798784,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
25,red,red,left,cong,,,,,1.0,1.0,13.0,0.0,,,86.70438318600645,None,left,1.0,0.7629526020027697,86.70438318600645,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
26,blue,red,left,incong,,,,,1.0,2.0,14.0,8.0,,,87.97205811500315,None,left,1.0,0.6802695240185129,87.97205811500315,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
27,red,green,down,incong,,,,,1.0,3.0,15.0,2.0,,,89.1553086680069,None,down,1.0,1.0969868260144722,89.1553086680069,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
28,red,red,left,cong,,,,,1.0,4.0,16.0,1.0,,,90.75391040599787,None,left,1.0,0.5913941990002058,90.75391040599787,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
29,blue,green,down,incong,,,,,1.0,5.0,17.0,9.0,,,91.85200717000409,None,down,1.0,0.9991964359942358,91.85200717000409,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
30,green,red,left,incong,,,,,1.0,6.0,18.0,4.0,,,93.35278831000325,None,left,1.0,0.6252954730007332,93.35278831000325,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
31,green,green,down,cong,,,,,1.0,7.0,19.0,6.0,,,94.48505465500055,None,down,1.0,0.8890626149950549,94.48505465500055,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
32,red,blue,right,incong,,,,,1.0,8.0,20.0,3.0,,,95.88635316598813,None,right,1.0,0.6395564420090523,95.88635316598813,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
33,green,blue,right,incong,,,,,1.0,9.0,21.0,7.0,,,97.0893270529923,None,right,1.0,0.9614758859970608,97.0893270529923,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
34,blue,blue,right,cong,,,,,1.0,10.0,22.0,11.0,,,98.55237460299395,None,right,1.0,0.4635228230035864,98.55237460299395,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
35,blue,blue,right,cong,,,,,1.0,11.0,23.0,10.0,,,99.52171850300509,None,right,1.0,0.3601565739954822,99.52171850300509,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
36,green,green,down,cong,,,,,2.0,0.0,24.0,5.0,,,100.38515581699906,None,down,1.0,1.4478000859962776,100.38515581699906,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
37,green,blue,right,incong,,,,,2.0,1.0,25.0,7.0,,,102.33693781899638,None,right,1.0,1.3959858810121661,102.33693781899638,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
38,green,red,left,incong,,,,,2.0,2.0,26.0,4.0,,,104.23648849799065,None,left,1.0,0.6243731009890325,104.23648849799065,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
39,green,green,down,cong,,,,,2.0,3.0,27.0,6.0,,,105.37032295000972,None,down,1.0,1.1353415320045317,105.37032295000972,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
40,blue,blue,right,cong,,,,,2.0,4.0,28.0,11.0,,,107.02070790799915,None,right,1.0,0.5501040920207743,107.02070790799915,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
41,red,green,down,incong,,,,,2.0,5.0,29.0,2.0,,,108.08822560901173,None,left,0.0,0.605537847004598,108.08822560901173,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
42,red,red,left,cong,,,,,2.0,6.0,30.0,1.0,,,109.20477639298771,None,left,1.0,1.4749036529974546,109.20477639298771,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
43,blue,green,down,incong,,,,,2.0,7.0,31.0,9.0,,,111.18603245099077,None,down,1.0,1.480541669996455,111.18603245099077,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
44,blue,blue,right,cong,,,,,2.0,8.0,32.0,10.0,,,113.17025630900751,None,right,1.0,0.6341584289912134,113.17025630900751,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
45,red,red,left,cong,,,,,2.0,9.0,33.0,0.0,,,114.31831932498608,None,left,1.0,0.571194539021235,114.31831932498608,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
46,blue,red,left,incong,,,,,2.0,10.0,34.0,8.0,,,115.40205228899141,None,left,1.0,0.6563443240011111,115.40205228899141,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
47,red,blue,right,incong,,,,,2.0,11.0,35.0,3.0,,,116.57136532198636,None,right,1.0,0.5429306729929522,116.57136532198636,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
48,green,red,left,incong,,,,,3.0,0.0,36.0,4.0,,,117.61821427999529,None,left,1.0,0.8501538319978863,117.61821427999529,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
49,red,green,down,incong,,,,,3.0,1.0,37.0,2.0,,,118.97101228998508,None,down,1.0,0.7311968930007424,118.97101228998508,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
50,green,blue,right,incong,,,,,3.0,2.0,38.0,7.0,,,120.20382382598473,None,right,1.0,0.7343806880235206,120.20382382598473,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
51,blue,blue,right,cong,,,,,3.0,3.0,39.0,11.0,,,121.45299623298342,None,right,1.0,0.7383561169845052,121.45299623298342,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
52,red,blue,right,incong,,,,,3.0,4.0,40.0,3.0,,,122.70230771700152,None,right,1.0,0.948932547995355,122.70230771700152,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
53,blue,green,down,incong,,,,,3.0,5.0,41.0,9.0,,,124.15135021100286,None,left,0.0,0.7187929380161222,124.15135021100286,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
54,green,green,down,cong,,,,,3.0,6.0,42.0,6.0,,,125.38503243000014,None,down,1.0,1.3170705999946222,125.38503243000014,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
55,red,red,left,cong,,,,,3.0,7.0,43.0,0.0,,,127.202655045985,None,left,1.0,0.5524766370072031,127.202655045985,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
56,blue,red,left,incong,,,,,3.0,8.0,44.0,8.0,,,128.26880173000973,None,left,1.0,1.1932682209881025,128.26880173000973,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
57,red,red,left,cong,,,,,3.0,9.0,45.0,1.0,,,129.96804596399306,None,left,1.0,0.5768761899962556,129.96804596399306,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
58,blue,blue,right,cong,,,,,3.0,10.0,46.0,10.0,,,131.05291106298682,None,right,1.0,0.6050160609884188,131.05291106298682,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
59,green,green,down,cong,,,,,3.0,11.0,47.0,5.0,,,132.1702903439873,None,down,1.0,0.6776941339776386,132.1702903439873,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
60,blue,blue,right,cong,,,,,4.0,0.0,48.0,10.0,,,133.3520138520107,None,right,1.0,0.6877803029783536,133.3520138520107,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
61,green,red,left,incong,,,,,4.0,1.0,49.0,4.0,,,134.55129031199613,None,left,1.0,0.5774512289790437,134.55129031199613,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
62,blue,red,left,incong,,,,,4.0,2.0,50.0,8.0,,,135.6379811869992,None,left,1.0,0.9729546789894812,135.6379811869992,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
63,red,red,left,cong,,,,,4.0,3.0,51.0,1.0,,,137.1187477580097,None,left,1.0,1.1948835439980028,137.1187477580097,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
64,blue,green,down,incong,,,,,4.0,4.0,52.0,9.0,,,138.82068907198843,None,down,1.0,0.6831649869855028,138.82068907198843,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
65,red,red,left,cong,,,,,4.0,5.0,53.0,0.0,,,140.00260300200898,None,left,1.0,0.9371685629885178,140.00260300200898,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
66,green,green,down,cong,,,,,4.0,6.0,54.0,6.0,,,141.45244699899922,None,down,1.0,0.7342109750024974,141.45244699899922,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
67,red,blue,right,incong,,,,,4.0,7.0,55.0,3.0,,,142.70103601299343,None,right,1.0,0.5937045459868386,142.70103601299343,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
68,blue,blue,right,cong,,,,,4.0,8.0,56.0,11.0,,,143.80459433500073,None,down,0.0,1.969996058003744,143.80459433500073,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
69,green,blue,right,incong,,,,,4.0,9.0,57.0,7.0,,,146.28429255599622,None,right,1.0,0.7282948950014543,146.28429255599622,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
70,green,green,down,cong,,,,,4.0,10.0,58.0,5.0,,,147.5195151049993,None,down,1.0,0.5330453980132006,147.5195151049993,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
71,red,green,down,incong,,,,,4.0,11.0,59.0,2.0,,,148.55170301298494,None,down,1.0,0.8848581250058487,148.55170301298494,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
72,green,blue,right,incong,0.0,0.0,0.0,7.0,,,,,8.79673763300525,None,11.14804120300687,None,right,1.0,3.0461921569949486,11.14804120300687,None,14.231644657993455,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
