text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,red,left,cong,0,0,0,0,,,,,11.56727542099543,None,20.991204202000517,None,left,1,0.8883012259902898,20.991204202000517,None,21.924471145001007,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
green,green,down,cong,0,1,1,5,,,,,,,23.391387968003983,None,down,1,0.5851297050248832,23.391387968003983,None,24.011628420994384,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
blue,red,right,incong,0,2,2,8,,,,,,,25.508145489002345,None,left,0,0.6383601340057794,25.508145489002345,None,26.19207128099515,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
green,red,down,incong,0,3,3,4,,,,,,,27.6716978320037,None,down,1,2.4533159169950522,27.6716978320037,None,30.175363747985102,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
green,blue,down,incong,0,4,4,7,,,,,,,31.64224635300343,None,down,1,3.5837215009960346,31.64224635300343,None,35.262000292976154,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
red,green,left,incong,0,5,5,2,,,,,,,36.75528626400046,None,left,1,1.7383901189896278,36.75528626400046,None,38.54158842298784,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
blue,green,right,incong,0,6,6,9,,,,,,,40.022772294003516,None,right,1,4.118683278997196,40.022772294003516,None,44.17461561100208,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
green,green,down,cong,0,7,7,6,,,,,,,45.63969868098502,None,down,1,4.2048200120043475,45.63969868098502,None,49.87252315800288,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
blue,blue,right,cong,0,8,8,10,,,,,,,51.357784781983355,None,right,1,0.7235426319821272,51.357784781983355,None,52.11228648299584,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
blue,blue,right,cong,0,9,9,11,,,,,,,53.60642219497822,None,right,1,1.259840691986028,53.60642219497822,None,54.89451485397876,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
red,red,left,cong,0,10,10,1,,,,,,,56.38863422500435,None,left,1,0.6123855920159258,56.38863422500435,None,57.02175258399802,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
red,blue,left,incong,0,11,11,3,,,,,,,58.50720237698988,None,right,0,1.0150315729842987,58.50720237698988,None,59.543416620988864,None,,,,,rev01,01,2020_Apr_04_1348,stroopReverse,2020.1.2,59.96218017238621,
