text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
green,blue,right,incong,0,0,0,7,,,,,8.79673763300525,None,11.14804120300687,None,right,1,3.046192156994948,11.14804120300687,None,14.231644657993456,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,0,1,1,1,,,,,,,15.697749754996039,None,left,1,0.4904120329883881,15.697749754996039,None,16.23235226899851,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,0,2,2,0,,,,,,,17.713842372002546,None,left,1,0.3682479959970806,17.713842372002546,None,18.11858922400279,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,0,3,3,5,,,,,,,19.612627833004808,None,down,1,0.3743392940086778,19.612627833004808,None,20.01229530799901,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,green,down,incong,0,4,4,2,,,,,,,21.48593008701573,None,down,1,0.868126982008107,21.48593008701573,None,22.38979672899586,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,red,left,incong,0,5,5,8,,,,,,,23.878382600989426,None,left,1,0.6477257039805409,23.878382600989426,None,24.550092037010472,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,0,6,6,6,,,,,,,26.048871672013775,None,down,1,0.7959341679816134,26.048871672013775,None,26.88248944701627,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,0,7,7,11,,,,,,,28.347116902994458,None,right,1,0.6777031189994887,28.347116902994458,None,29.066269399016164,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,red,left,incong,0,8,8,4,,,,,,,30.547811269992962,None,left,1,0.6829030159860849,30.547811269992962,None,31.267851244017947,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,green,down,incong,0,9,9,9,,,,,,,32.76315756799886,None,down,1,1.2956134019768797,32.76315756799886,None,34.09813953700359,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,blue,right,incong,0,10,10,3,,,,,,,35.57832201899146,None,right,1,0.6672715909953695,35.57832201899146,None,36.26707213599002,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,0,11,11,10,,,,,,,37.74925043201074,None,right,1,0.7284098250092939,37.74925043201074,None,38.50239947999944,None,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,blue,right,incong,,,,,0,0,0,7,,,41.36280731699662,None,right,1,1.5266199830221012,41.36280731699662,None,,,39.533934120991034,None,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,0,1,1,0,,,43.41485066100722,None,left,1,0.49079214601079,43.41485066100722,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,0,2,2,10,,,44.41279640799621,None,right,1,0.5124812670110259,44.41279640799621,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,red,left,incong,,,,,0,3,3,4,,,45.44753831101116,None,left,1,0.45676962099969387,45.44753831101116,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,red,left,incong,,,,,0,4,4,8,,,46.412423497997224,None,left,1,0.5959666109993123,46.412423497997224,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,0,5,5,1,,,47.51295132300584,None,left,1,0.4482804319995921,47.51295132300584,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,0,6,6,11,,,48.4652315590065,None,right,1,0.4301346899883356,48.4652315590065,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,0,7,7,6,,,49.40228968899464,None,down,1,0.7378668380260933,49.40228968899464,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,green,down,incong,,,,,0,8,8,9,,,50.64816243300447,None,down,1,0.3789197680016514,50.64816243300447,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,blue,right,incong,,,,,0,9,9,3,,,51.52911514401785,None,right,1,0.4381059260049369,51.52911514401785,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,green,down,incong,,,,,0,10,10,2,,,52.48099565500161,None,down,1,1.704156238003634,52.48099565500161,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,0,11,11,5,,,54.694721673004096,None,down,1,0.8062926720012911,54.694721673004096,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,1,0,12,6,,,56.015047373017296,None,down,1,0.44609302197932266,56.015047373017296,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,blue,right,incong,,,,,1,1,13,7,,,56.95069329199032,None,right,1,0.8074286599876359,56.95069329199032,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,blue,right,incong,,,,,1,2,14,3,,,58.25242771199555,None,right,1,0.8824004940106533,58.25242771199555,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,1,3,15,0,,,59.646897444996284,None,left,1,0.5710113850072958,59.646897444996284,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,red,left,incong,,,,,1,4,16,4,,,60.7276149050158,None,left,1,1.2743393080017995,60.7276149050158,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,1,5,17,5,,,62.51325765901129,None,down,1,0.6376980500062928,62.51325765901129,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,green,down,incong,,,,,1,6,18,9,,,63.66204036201816,None,down,1,1.096643516997574,63.66204036201816,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,1,7,19,1,,,65.26218242300092,None,left,1,0.7254886020091362,65.26218242300092,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,1,8,20,11,,,66.49500134101254,None,right,1,0.6178235429979395,66.49500134101254,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,red,left,incong,,,,,1,9,21,8,,,67.61247036099667,None,left,1,0.8831445849791635,67.61247036099667,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,1,10,22,10,,,68.99649093201151,None,right,1,1.4082608390017413,68.99649093201151,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,green,down,incong,,,,,1,11,23,2,,,70.91140800600988,None,down,1,2.1022510020120535,70.91140800600988,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,blue,right,incong,,,,,2,0,24,3,,,73.51300462699146,None,right,1,1.1095934820186812,73.51300462699146,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,green,down,incong,,,,,2,1,25,9,,,75.13091039599385,None,down,1,0.9094863680074923,75.13091039599385,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,green,down,incong,,,,,2,2,26,2,,,76.54533412199817,None,down,1,0.8199954369920306,76.54533412199817,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,2,3,27,11,,,77.87705745000858,None,right,1,0.6544889930228237,77.87705745000858,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,2,4,28,10,,,79.04632701000082,None,right,1,0.5421599000110291,79.04632701000082,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,2,5,29,1,,,80.09497518601711,None,left,1,0.46437330200569704,80.09497518601711,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,2,6,30,6,,,81.06056543000159,None,down,1,0.9331624680198729,81.06056543000159,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,red,left,incong,,,,,2,7,31,4,,,82.4964334719989,None,left,1,0.5757855320116505,82.4964334719989,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,red,left,incong,,,,,2,8,32,8,,,83.5789931580075,None,left,1,0.6323130220116582,83.5789931580075,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,blue,right,incong,,,,,2,9,33,7,,,84.71097137700417,None,right,1,0.8272373430081643,84.71097137700417,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,2,10,34,5,,,86.04700501501793,None,down,1,0.6392003260261845,86.04700501501793,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,2,11,35,0,,,87.1942469550122,None,left,1,0.5528263550077099,87.1942469550122,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,3,0,36,6,,,88.26468136601034,None,down,1,1.2123858270060737,88.26468136601034,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,blue,right,incong,,,,,3,1,37,7,,,89.97960187800345,None,right,1,0.6853250710119028,89.97960187800345,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,3,2,38,11,,,91.17982480101637,None,right,1,0.7232627780176699,91.17982480101637,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,3,3,39,0,,,92.41161127001396,None,left,1,0.48032640901510604,92.41161127001396,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,red,left,incong,,,,,3,4,40,8,,,93.39521276101004,None,left,1,0.8026612859976012,93.39521276101004,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,red,left,incong,,,,,3,5,41,4,,,94.71148664699285,None,left,1,0.8494830900162924,94.71148664699285,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,blue,right,incong,,,,,3,6,42,3,,,96.06397482199827,None,right,1,0.9468988649896346,96.06397482199827,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,green,down,incong,,,,,3,7,43,9,,,97.51137218001531,None,down,1,1.1054693489859346,97.51137218001531,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
green,green,down,cong,,,,,3,8,44,5,,,99.12823699600995,None,right,0,0.8726095169840846,99.12823699600995,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,3,9,45,1,,,100.51444458900369,None,left,1,1.091131827008212,100.51444458900369,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,green,down,incong,,,,,3,10,46,2,,,102.11437830599607,None,down,1,0.9376505679974798,102.11437830599607,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
blue,blue,right,cong,,,,,3,11,47,10,,,103.59632210899144,None,right,1,0.5021893529919907,103.59632210899144,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
red,red,left,cong,,,,,4,0,48,0,,,104.61375213600695,None,left,1,0.5249017190071754,104.61375213600695,None,,,,,,,02,01,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
