,Unnamed: 0,Unnamed: 0.1,Unnamed: 33,congruent,corrAns,date,expName,feedback_2.started,feedback_2.stopped,frameRate,instr1.started,instr1.stopped,instrText.started,instrText.stopped,letterColor,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
0,0.0,0.0,,incong,right,2020_Apr_04_1338,stroop,34.340132139011985,None,59.7418969568182,22.514217018004274,None,,,blue,1.0,7.0,0.0,0.0,0.0,2020.1.2,1.0,right,0.928767836012412,33.370934006990865,None,1.0,green,,,,,,,33.370934006990865,None
1,1.0,1.0,,cong,right,2020_Apr_04_1338,stroop,36.47527598400485,None,59.7418969568182,,,,,blue,1.0,10.0,1.0,0.0,1.0,2020.1.2,1.0,right,0.6256340419931803,35.82014406999224,None,1.0,blue,,,,,,,35.82014406999224,None
2,2.0,2.0,,cong,down,2020_Apr_04_1338,stroop,38.676010675990256,None,59.7418969568182,,,,,green,1.0,5.0,2.0,0.0,2.0,2020.1.2,1.0,down,0.6929353160085157,37.95376499698614,None,1.0,green,,,,,,,37.95376499698614,None
3,3.0,3.0,,incong,down,2020_Apr_04_1338,stroop,41.42274592598551,None,59.7418969568182,,,,,green,1.0,2.0,3.0,0.0,3.0,2020.1.2,0.0,right,1.2321299570030533,40.15650807999191,None,1.0,red,,,,,,,40.15650807999191,None
4,4.0,4.0,,cong,down,2020_Apr_04_1338,stroop,43.67295284298597,None,59.7418969568182,,,,,green,1.0,6.0,4.0,0.0,4.0,2020.1.2,1.0,down,0.717584218014963,42.90387064800598,None,1.0,green,,,,,,,42.90387064800598,None
5,5.0,5.0,,incong,down,2020_Apr_04_1338,stroop,46.04287803400075,None,59.7418969568182,,,,,green,1.0,9.0,5.0,0.0,5.0,2020.1.2,1.0,down,0.8828058460203465,45.138650556997156,None,1.0,blue,,,,,,,45.138650556997156,None
6,6.0,6.0,,incong,left,2020_Apr_04_1338,stroop,49.03554596798495,None,59.7418969568182,,,,,red,1.0,8.0,6.0,0.0,6.0,2020.1.2,1.0,left,1.471243387000868,47.53801119999844,None,1.0,blue,,,,,,,47.53801119999844,None
7,7.0,7.0,,incong,right,2020_Apr_04_1338,stroop,51.203652241005315,None,59.7418969568182,,,,,blue,1.0,3.0,7.0,0.0,7.0,2020.1.2,1.0,right,0.6617573469993658,50.52038214600178,None,1.0,red,,,,,,,50.52038214600178,None
8,8.0,8.0,,cong,left,2020_Apr_04_1338,stroop,53.3864206399885,None,59.7418969568182,,,,,red,1.0,0.0,8.0,0.0,8.0,2020.1.2,1.0,left,0.6802930309786461,52.68794084299589,None,1.0,red,,,,,,,52.68794084299589,None
9,9.0,9.0,,cong,left,2020_Apr_04_1338,stroop,55.50537538700154,None,59.7418969568182,,,,,red,1.0,1.0,9.0,0.0,9.0,2020.1.2,1.0,left,0.5847018789791036,54.87131558399415,None,1.0,red,,,,,,,54.87131558399415,None
10,10.0,10.0,,cong,right,2020_Apr_04_1338,stroop,57.80386258498766,None,59.7418969568182,,,,,blue,1.0,11.0,10.0,0.0,10.0,2020.1.2,1.0,right,0.7893218279932626,56.98676982100005,None,1.0,blue,,,,,,,56.98676982100005,None
11,11.0,11.0,,incong,left,2020_Apr_04_1338,stroop,60.559735474991605,None,59.7418969568182,,,,,red,1.0,4.0,11.0,0.0,11.0,2020.1.2,1.0,left,1.2344034199777525,59.28865200901054,None,1.0,green,,,,,,,59.28865200901054,None
12,12.0,12.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,61.606232072983396,None,green,1.0,,,,,2020.1.2,1.0,down,1.3911340159829706,68.73578969898517,None,1.0,red,,,2.0,0.0,0.0,0.0,68.73578969898517,None
13,13.0,13.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.5754643889958969,70.63626287900844,None,1.0,blue,,,10.0,1.0,0.0,1.0,70.63626287900844,None
14,14.0,14.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.4866598899825476,71.71901038198848,None,1.0,red,,,1.0,2.0,0.0,2.0,71.71901038198848,None
15,15.0,15.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.7357238880067598,72.71890392899512,None,1.0,blue,,,8.0,3.0,0.0,3.0,72.71890392899512,None
16,16.0,16.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,1.1371296980069021,73.96948971800157,None,1.0,green,,,7.0,4.0,0.0,4.0,73.96948971800157,None
17,17.0,17.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,0.7986532200011425,75.62085127999308,None,1.0,green,,,5.0,5.0,0.0,5.0,75.62085127999308,None
18,18.0,18.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,0.8339444269950036,76.93881866600714,None,1.0,blue,,,9.0,6.0,0.0,6.0,76.93881866600714,None
19,19.0,19.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.5469749170006253,78.28862013798789,None,1.0,blue,,,11.0,7.0,0.0,7.0,78.28862013798789,None
20,20.0,20.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.6927405729948077,79.33879074099241,None,1.0,red,,,3.0,8.0,0.0,8.0,79.33879074099241,None
21,21.0,21.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,0.5712875720055308,80.53628749400376,None,1.0,green,,,6.0,9.0,0.0,9.0,80.53628749400376,None
22,22.0,22.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.6048242989927529,81.62071814399678,None,1.0,green,,,4.0,10.0,0.0,10.0,81.62071814399678,None
23,23.0,23.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.5919320800167043,82.73858573299367,None,1.0,red,,,0.0,11.0,0.0,11.0,82.73858573299367,None
24,24.0,24.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,2.3631595759943598,83.83621522798784,None,1.0,green,,,5.0,12.0,1.0,0.0,83.83621522798784,None
25,25.0,25.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.7629526020027697,86.70438318600645,None,1.0,red,,,0.0,13.0,1.0,1.0,86.70438318600645,None
26,26.0,26.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.6802695240185129,87.97205811500315,None,1.0,blue,,,8.0,14.0,1.0,2.0,87.97205811500315,None
27,27.0,27.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,1.0969868260144722,89.1553086680069,None,1.0,red,,,2.0,15.0,1.0,3.0,89.1553086680069,None
28,28.0,28.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.5913941990002058,90.75391040599787,None,1.0,red,,,1.0,16.0,1.0,4.0,90.75391040599787,None
29,29.0,29.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,0.9991964359942358,91.85200717000409,None,1.0,blue,,,9.0,17.0,1.0,5.0,91.85200717000409,None
30,30.0,30.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.6252954730007332,93.35278831000325,None,1.0,green,,,4.0,18.0,1.0,6.0,93.35278831000325,None
31,31.0,31.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,0.8890626149950549,94.48505465500055,None,1.0,green,,,6.0,19.0,1.0,7.0,94.48505465500055,None
32,32.0,32.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.6395564420090523,95.88635316598813,None,1.0,red,,,3.0,20.0,1.0,8.0,95.88635316598813,None
33,33.0,33.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.9614758859970608,97.0893270529923,None,1.0,green,,,7.0,21.0,1.0,9.0,97.0893270529923,None
34,34.0,34.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.4635228230035864,98.55237460299395,None,1.0,blue,,,11.0,22.0,1.0,10.0,98.55237460299395,None
