text,letterColor,corrAns,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
red,red,left,1,0,0,0,0,10.652306149015203,None,13.003217362012947,None,left,1,0.8709385730035137,13.003217362012947,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
blue,blue,right,1,0,1,1,4,,,14.384973976004403,None,right,1,0.752251072000945,14.384973976004403,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
red,green,down,0,0,2,2,1,,,15.65262122801505,None,down,1,0.8175212960049976,15.65262122801505,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
blue,red,left,0,0,3,3,5,,,16.985286189010367,None,left,1,1.010868319979636,16.985286189010367,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
green,blue,right,0,0,4,4,3,,,18.50242132198764,None,right,1,2.2865784160094336,18.50242132198764,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
green,green,down,1,0,5,5,2,,,21.284503083996242,None,down,1,0.8924100099829957,21.284503083996242,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
blue,red,left,0,1,0,6,5,,,22.685183933004737,None,left,1,0.6428713939967565,22.685183933004737,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
red,red,left,1,1,1,7,0,,,23.836097980005434,None,left,1,0.4467519820027519,23.836097980005434,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
green,blue,right,0,1,2,8,3,,,24.7850832400145,None,right,1,0.8207673759898171,24.7850832400145,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
green,green,down,1,1,3,9,2,,,26.117317489988636,None,down,1,0.8734819339879323,26.117317489988636,None,,,01,02,2020_Apr_04_0836,stroop,2020.1.2,59.984580720421434,
