,Unnamed: 0,Unnamed: 25,congruent,corrAns,date,expName,frameRate,instrText.started,instrText.stopped,letterColor,participant,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
0,,,0.0,down,2020_Apr_04_1324,stroop,60.011564941890825,24.93785783700877,None,green,4.0,2020.1.2,1.0,down,1.1332468050241005,29.019076131022306,None,1.0,red,,,1.0,0.0,0.0,0.0,29.019076131022306,None
1,,,0.0,left,2020_Apr_04_1324,stroop,60.011564941890825,,,red,4.0,2020.1.2,1.0,left,0.9332524880010168,30.654931137018142,None,1.0,blue,,,5.0,1.0,0.0,1.0,30.654931137018142,None
2,,,1.0,right,2020_Apr_04_1324,stroop,60.011564941890825,,,blue,4.0,2020.1.2,1.0,right,0.8935536899953149,32.10456376502407,None,1.0,blue,,,4.0,2.0,0.0,2.0,32.10456376502407,None
3,,,1.0,down,2020_Apr_04_1324,stroop,60.011564941890825,,,green,4.0,2020.1.2,1.0,down,0.5554820519755594,33.5045893700153,None,1.0,green,,,2.0,3.0,0.0,3.0,33.5045893700153,None
4,,,1.0,left,2020_Apr_04_1324,stroop,60.011564941890825,,,red,4.0,2020.1.2,1.0,left,0.4825076540000737,34.56854936899617,None,1.0,red,,,0.0,4.0,0.0,4.0,34.56854936899617,None
5,,,0.0,right,2020_Apr_04_1324,stroop,60.011564941890825,,,blue,4.0,2020.1.2,1.0,right,0.9992572659975848,35.551875934004784,None,1.0,green,,,3.0,5.0,0.0,5.0,35.551875934004784,None
6,,,0.0,left,2020_Apr_04_1324,stroop,60.011564941890825,,,red,4.0,2020.1.2,1.0,left,0.8196686790033709,37.0522327220242,None,1.0,blue,,,5.0,6.0,1.0,0.0,37.0522327220242,None
7,,,1.0,right,2020_Apr_04_1324,stroop,60.011564941890825,,,blue,4.0,2020.1.2,1.0,right,0.9075359400012529,38.38651754500461,None,1.0,blue,,,4.0,7.0,1.0,1.0,38.38651754500461,None
8,,,1.0,down,2020_Apr_04_1324,stroop,60.011564941890825,,,green,4.0,2020.1.2,1.0,down,0.5910860000003595,39.80191855202429,None,1.0,green,,,2.0,8.0,1.0,2.0,39.80191855202429,None
9,,,0.0,down,2020_Apr_04_1324,stroop,60.011564941890825,,,green,4.0,2020.1.2,1.0,down,2.9064140210102787,40.90125967899803,None,1.0,red,,,1.0,9.0,1.0,3.0,40.90125967899803,None
10,,,1.0,left,2020_Apr_04_1324,stroop,60.011564941890825,,,red,4.0,2020.1.2,1.0,left,0.5970124950108584,44.3196261220146,None,1.0,red,,,0.0,10.0,1.0,4.0,44.3196261220146,None
