24.1950	WARNING	Image 'redBalloon.png' was not a square power-of-two image. Linearly interpolating to be 1024x1024
25.4350	DATA	Keypress: space
26.6161	DATA	Keypress: space
26.7828	DATA	Keypress: space
26.9191	DATA	Keypress: space
27.0831	DATA	Keypress: space
27.2493	DATA	Keypress: space
27.3831	DATA	Keypress: space
27.5192	DATA	Keypress: space
27.6825	DATA	Keypress: space
27.8659	DATA	Keypress: space
28.0324	DATA	Keypress: space
28.1995	DATA	Keypress: space
28.3358	DATA	Keypress: space
28.5159	DATA	Keypress: space
28.6826	DATA	Keypress: space
28.8491	DATA	Keypress: space
29.0158	DATA	Keypress: space
29.1656	DATA	Keypress: space
29.3026	DATA	Keypress: space
29.4702	DATA	Keypress: space
29.6324	DATA	Keypress: space
29.7992	DATA	Keypress: space
29.9658	DATA	Keypress: space
30.1026	DATA	Keypress: space
30.2324	DATA	Keypress: space
30.4323	DATA	Keypress: space
30.5821	DATA	Keypress: space
30.7493	DATA	Keypress: space
30.9062	DATA	Keypress: space
32.3988	DATA	Keypress: escape
